,fiction_work,film_adaptation,film_year
1498,"Treasure Island (1883), Robert Louis Stevenson","Treasure Island (1918)
Treasure Island (1920)
Treasure Island (1934)
Treasure Island (1937)
Treasure Island (1950)
* Long John Silver (1954)
Return to Treasure Island (1954)
Treasure Island (1971)
Animal Treasure Island (1971)
Treasure Island (1972 animated)
Treasure Island (1972 live-action)
Treasure Island (1977) (TV)
Treasure Island (1982) (TV)
L'Île au trésor (1985)
Return to Treasure Island (1986) (TV) (mini)
L'isola del tesoro (1987)
Treasure Island (1988)
Return to Treasure Island (1988) (TV)
Treasure Island (1990) (TV)
Return to Treasure Island (1992)
Muppet Treasure Island (1996)
Return to Treasure Island (1996) (TV)
Return to Treasure Island (1998) (TV)
Treasure Island (1999)
Treasure Planet (2002)
Pirates of Treasure Island (2006)
Die Schatzinsel (2007)","['1918', '1920', '1934', '1937', '1950', '1954', '1954', '1971', '1971', '1972', '1972', '1977', '1982', '1985', '1986', '1987', '1988', '1988', '1990', '1992', '1996', '1996', '1998', '1999', '2002', '2006', '2007']"
1499,"The Treasure of the Sierra Madre (1927), B. Traven",The Treasure of the Sierra Madre (1948),['1948']
1500,"The Trial (1925), Franz Kafka","The Trial (1962)
After Hours (1985)
The Trial (1993)","['1962', '1985', '1993']"
1501,"Trinity's Child (1983), William Prochnau",By Dawn's Early Light (1990) (TV),['1990']
1502,"Les Trois Mousquetaires (The Three Musketeers) (1844), Alexandre Dumas, père","The Three Musketeers (1903)
The Three Musketeers: Part 1/The Three Musketeers: Part 2 (1911)
The Three Musketeers (1914)
The Three Musketeers (1916)
Les Trois Mousquetaires (1921)
The Three Musketeers (1921)
The Three Musketeers (1933) (serial)
Les Trois Mousquetaires (1933)
The Three Musketeers (1935)
The Three Musketeers (1939)
The Three Musketeers (1948)
At Sword's Point (1952)
The Three Musketeers (1953)
Los tres mosqueteros y medio (1957)
Les trois mousquetaires: Premiere époque-Les ferrets de la reine (1961) (a.k.a. (a.k.a. “The Fighting Musketeeers”)
* Les trois mousquetaires: La vengeance de Milady (1961) (a.k.a. “The Vengeance of the Musketeers”)
The Three Musketeers (1969) (TV)
The Three Musketeers in Boots (1972)
The Three Musketeers (1973)
* The Four Musketeers (1974)
** The Return of the Musketeers (1989)
The Three Musketeers (1973) (TV)
Les Quatre Charlots Mousquetaires (1974)
* A Nous Quatre Cardinal (1974)
d'Artagnan l'intrépide (1975)
d'Artagnan and Three Musketeers (1978)
* The Secret of Queen Anna, or Musketeers Thirty Years After (1993)
** The Return of the Musketeers, or The Treasures of Cardinal Mazarin (2009)
The Three Musketeers (1992)
Ring of the Musketeers (1992)
The Three Musketeers (1993)
La Fille de d'Artagnan (The Daughter of d'Artagnan) (1994)
The Musketeer (2001)
d'Artagnan et les trois mousquetaires (2005)
Mickey, Donald, Goofy: The Three Musketeers (2004)
La Femme Musketeer (2004)
Barbie and the Three Musketeers (2009)
The Three Musketeers (2011)","['1903', '1911', '1914', '1916', '1921', '1921', '1933', '1933', '1935', '1939', '1948', '1952', '1953', '1957', '1961', '1961', '1969', '1972', '1973', '1974', '1989', '1973', '1974', '1974', '1975', '1978', '1993', '2009', '1992', '1992', '1993', '1994', '2001', '2005', '2004', '2004', '2009', '2011']"
1503,"The Trouble with Harry (1950), Jack Trevor Story",The Trouble with Harry (1955),['1955']
1504,"True Grit (1968), Charles Portis","True Grit (1969)
* Rooster Cogburn (1975)
** True Grit: A Further Adventure (1978) (TV)
True Grit (2010)","['1969', '1975', '1978', '2010']"
1505,"The Turn of the Screw (1898), Henry James",The Innocents (1961),['1961']
1506,"The Turning Point (1977), Hermann Kant",The Turning Point (German: Der Aufenthalt) (1983),['1983']
1507,"The Twenty-fifth Hour (Ora 25) (1949), Constantin Virgil Gheorghiu",The 25th Hour (1967),['1967']
1508,"Twilight for the Gods (1958), Ernest K. Gann",Twilight for the Gods (1958),['1958']
1509,"The Twilight Saga (2005–2008) (series), Stephenie Meyer
Twilight (2005)
* New Moon (2006)
** Eclipse (2007)
** * Breaking Dawn (2008)","The Twilight Saga (2008–2012) (series)
Twilight (2008)
* The Twilight Saga: New Moon (2009)
** The Twilight Saga: Eclipse (2010)
*** The Twilight Saga: Breaking Dawn – Part 1 (2011)
*** The Twilight Saga: Breaking Dawn – Part 2 (2012)","['2008', '2008', '2009', '2010', '2011', '2012']"
1510,"The Twins (2000), Tessa de Loo",Twin Sisters (De tweeling) (2002),['2002']
1511,"Two-Gun Man (1929), Stewart Edward White",Under a Texas Moon (1929),['1929']
1512,"Two-Minute Warning (1975), George La Fountaine",Two-Minute Warning (1976),['1976']
1513,"Two Much! (1975), Donald E. Westlake","Le Jumeau (The Twin) (1984)
Two Much (1995)","['1984', '1995']"
1514,"The Two Towers (1954), J. R. R. Tolkien","J. R. R. Tolkien's The Lord of the Rings (1978)
The Lord of the Rings: The Two Towers (2002)","['1978', '2002']"
1515,"Трудно быть богом (Trudno byt' bogom (""Hard to Be a God"")) (1964), Arkady and Boris Strugatsky","Hard to Be a God (1989)
Hard to Be a God (2008)","['1989', '2008']"
1516,"The Tunnel of Love (1954), Peter De Vries",The Tunnel of Love (1958),['1958']
1518,"Ugetsu monogatari (1776), Ueda Akinari",Ugetsu (1953),['1953']
1519,"The Ugly Dachshund (1938), Gladys Bronwyn Stern",The Ugly Dachshund (1966),['1966']
1520,"The Unbearable Lightness of Being (The Unbearable Lightness of Being) (1984), Milan Kundera",The Unbearable Lightness of Being (1988),['1988']
1521,"Uncharted Seas (1938), Dennis Wheatley",The Lost Continent (1968),['1968']
1522,"Uncle Remus (1881), Joel Chandler Harris","Song of the South (1946)
Coonskin (1975)
The Adventures of Brer Rabbit (2006)","['1946', '1975', '2006']"
1523,"Under the Tonto Rim (1926), Zane Grey","Under the Tonto Rim (1928)
Under the Tonto Rim (1933)
Under the Tonto Rim (1947)","['1928', '1933', '1947']"
1524,"Undercover Cat (1963), Gordon Gordon and Mildred Gordon","That Darn Cat! (1965)
That Darn Cat (1997)","['1965', '1997']"
1525,"Unforbidden Fruit (1927), Samuel Hopkins Adams",The Wild Party (1929),['1929']
1526,"The Unforgiven (1957), Alan Le May",The Unforgiven (1960),['1960']
1527,"Union Street (1982), Pat Barker",Stanley & Iris (1989),['1989']
1528,"Tuntematon sotilas (The Unknown Soldier) (1954), Väinö Linna","The Unknown Soldier (1955)
The Unknown Soldier (1985)","['1955', '1985']"
1529,"Useless Cowboy (1943), Alan Le May",Along Came Jones (1945),['1945']
1531,"Valdez Is Coming (1970), Elmore Leonard",Valdez Is Coming (1971),['1971']
1532,"Valley of the Dolls (1966), Jacqueline Susann",Valley of the Dolls (1967),['1967']
1533,"Vampire$ (1990), John Steakley","Vampires (1998)
* Vampires: Los Muertos (2002) (V)
** Vampires: The Turning (2005) (V)","['1998', '2002', '2005']"
1534,"Les Valseuses (1974), Bertrand Blier",Going Places (1974),['1974']
1535,"The Vanishing American (1925), Zane Grey",The Vanishing American (1925),['1925']
1536,"Vanity Fair (1847–1848), William Makepeace Thackeray","Vanity Fair (1911)
Vanity Fair (1915)
Vanity Fair (1922)
Vanity Fair (1923)
Vanity Fair (1932)
Becky Sharp (1935)
Vanity Fair (1967) (TV)
Vanity Fair (1987) (TV)
Vanity Fair (1998) (TV)
Vanity Fair (2004)","['1911', '1915', '1922', '1923', '1932', '1935', '1967', '1987', '1998', '2004']"
1537,"Vanity Row (1953), W. R. Burnett",Accused of Murder (1956),['1956']
1538,"Vennelalo Adapilla (1991), Yandamuri Veerendranath",Beladingala Baale (1995),['1995']
1539,"Vengeance (1984),[3] George Jonas","Sword of Gideon (1986), George Jonas and Chris Bryant
Munich (2005)","['1986', '2005']"
1540,"Vengeance Valley (1949), Luke Short",Vengeance Valley (1951),['1951']
1541,"A Very Private Gentleman (1990), Martin Booth",The American (2010),['2010']
1542,"Vespers in Vienna (1947), Bruce Marshall",The Red Danube (1949),['1949']
1543,"The Vicomte of Bragelonne: Ten Years Later (The Vicomte of Bragelonne: Ten Years Later) (1847–1850), Alexandre Dumas, père","The Iron Mask (1929)
The Man in the Iron Mask (1939)
The Man in the Iron Mask (1977)
The Man in the Iron Mask (1998)","['1929', '1939', '1977', '1998']"
1544,"Victory (1915), Joseph Conrad","Victory (1919)
Niebezpieczny raj (Dangerous Paradise) (1930)
Dangerous Paradise (1930)
Victory (1940)
Victory (1995)","['1919', '1930', '1930', '1940', '1995']"
1545,"De vierde man (1981), Gerard Reve",The Fourth Man (1983),['1983']
1546,"Vigil in the Night (1939), A. J. Cronin",Vigil in the Night (1940),['1940']
1547,"The Viking (1951), Edison Marshall",The Vikings (1958),['1958']
1548,"Viper Three (1972), Walter Wager",Twilight's Last Gleaming (1977),['1977']
1549,"Vingt mille lieues sous les mers (Twenty Thousand Leagues Under the Sea) (1870), Jules Verne","20,000 lieues sous les mers (1907)
20,000 Leagues Under the Sea (1916)
20,000 Leagues Under the Sea (1954)
Captain Nemo and the Underwater City (1969)
20,000 Leagues Under the Sea (1972)
20,000 Leagues Under the Sea (1973)
Captain Nemo (Капитан Немо) (1975)
The Return of Captain Nemo (1978) (TV)
The Black Hole (1979)
20,000 Leagues Under the Sea (1985)
20,000 Leagues Under the Sea (1997) (television film released by Hallmark)
20,000 Leagues Under the Sea (1997) (television film released by Village Roadshow Pictures)
Crayola Kids Adventures: 20,000 Leagues Under the Sea (1997)
20,000 Leagues Under the Sea (2002)
30,000 Leagues Under the Sea (2007)
Journey 2: The Mysterious Island (2012)","['1907', '1916', '1954', '1969', '1972', '1973', '1975', '1978', '1979', '1985', '1997', '1997', '1997', '2002', '2007', '2012']"
1550,"The Virginian: A Horseman of the Plains (1902), Owen Wister","The Virginian (1914)
The Virginian (1923)
The Virginian (1929)
The Virginian (1946)
The Virginian (2000) (TV)","['1914', '1923', '1929', '1946', '2000']"
1551,"Vision Quest (1979), Terry Davis",Vision Quest (1985),['1985']
1552,"The Voice of Bugle Ann (1935), MacKinlay Kantor",The Voice of Bugle Ann (1936),['1936']
1553,"Le Voleur (1897), Georges Darien",The Thief of Paris (1967),['1967']
1554,"Voyage au centre de la Terre (A Journey to the Center of the Earth) (1864), Jules Verne","Journey to the Center of the Earth (1959)
Viaje al centro de la Tierra (1978)
Journey to the Center of the Earth (1989)
Journey to the Center of the Earth (1993) (TV)
Journey to the Center of the Earth (1999) (TV)
Journey to the Center of the Earth (2008)
* Journey 2: The Mysterious Island (2012)
Journey to the Center of the Earth (2008) (TV)
Journey to the Center of the Earth (2008) (Direct-to-DVD release by The Asylum)","['1959', '1978', '1989', '1993', '1999', '2008', '2012', '2008', '2008']"
1555,"Les Voyages et aventures du capitaine Hatteras (The Adventures of Captain Hatteras) (1866), Jules Verne",Conquest of the Pole (1912),['1912']
1556,"Voyage of the Damned (1974), Gordon Thomas and Max Morgan-Witts",Voyage of the Damned (1976),['1976']
1558,"The Wages of Fear (1950), Georges-Jean Arnaud","The Wages of Fear (1953)
Violent Road (1958) (a. k. a. Hell's Highway)
Sorcerer (1977)","['1953', '1958', '1977']"
1559,"The Wailing Asteroid (1960), Murray Leinster",The Terrornauts (1967),['1967']
1560,"A Walk to Remember (1999), Nicholas Sparks",A Walk to Remember (2002),['2002']
1561,"Walkabout (a.k.a. The Children) (1959), Donald G. Payne (as James Vance Marshall)",Walkabout (1971),['1971']
1562,"Walking Shadow (1994), Robert B. Parker",Walking Shadow (2001) (TV),['2001']
1563,"Waltz into Darkness (1947), Cornell Woolrich (as William Irish)","Mississippi Mermaid (1969)
Original Sin (2001)","['1969', '2001']"
1564,"Wanderer of the Wasteland (1923), Zane Grey","Wanderer of the Wasteland (1924)
Wanderer of the Wasteland (1935)
Wanderer of the Wasteland (1945)","['1924', '1935', '1945']"
1565,"War and Peace (1869), Leo Tolstoy","War and Peace (1956)
War and Peace (1966–67)","['1956', '1966']"
1566,"War Horse (1982), Michael Morpurgo",War Horse (2011),['2011']
1567,"The War of the Roses (1981), Warren Adler",The War of the Roses (1989),['1989']
1568,"The War of the Worlds (1898), H. G. Wells","The War of the Worlds (1953)
The War of the Worlds: Next Century (1983)
War of the Worlds (2005)
H.G. Wells' The War of the Worlds (2005)
H.G. Wells' War of the Worlds (2005)
* War of the Worlds 2: The Next Wave (2008)","['1953', '1983', '2005', '2005', '2005', '2008']"
1569,"Wat zien ik!? (1966), Albert Mol
Haar van Boven (1969), Albert Mol",Wat zien ik (Business Is Business) (1971),['1971']
1570,"A Watcher in the Woods (1976), Florence Engel Randall",The Watcher in the Woods (1980),['1980']
1571,"Water for Elephants (2006), Sara Gruen",Water for Elephants (2011),['2011']
1572,"The Water Hole (1927–1928) (serial) (1928) (novel), Zane Grey",The Water Hole (1928),['1928']
1573,"Watership Down (1972), Richard Adams",Watership Down (1978),['1978']
1574,"The Way West (1949), A. B. Guthrie, Jr.",The Way West (1967),['1967']
1575,"The Werewolf of Paris (1933), Guy Endore","The Curse of the Werewolf (1961)
Legend of the Werewolf (1975)","['1961', '1975']"
1576,"West of the Pecos (1937), Zane Grey","West of the Pecos (1922)
West of the Pecos (1934)
West of the Pecos (1945)","['1922', '1934', '1945']"
1577,"The Wet Parade (1931), Upton Sinclair",The Wet Parade (1932),['1932']
1578,"We're Back! A Dinosaur's Story (1987), Hudson Talbott",We're Back! A Dinosaur's Story (1993),['1993']
1579,"What Dreams May Come (1978), Richard Matheson",What Dreams May Come (1998),['1998']
1580,"What's the Worst Thing That Could Happen? (1996), Donald E. Westlake",What's the Worst Thing That Could Happen? (2001),['2001']
1581,"The Wheels Spins (1936), Ethel Lina White","The Lady Vanishes (1938)
The Lady Vanishes (1979)","['1938', '1979']"
1582,"When Eight Bells Toll (1966), Alistair MacLean",When Eight Bells Toll (1971),['1971']
1583,"When Knighthood Was in Flower (1898), Charles Major","When Knighthood Was in Flower (1908) (a. k. a. When Knights Were Bold)
When Knighthood Was in Flower (1922)
The Sword and the Rose (1953)","['1908', '1922', '1953']"
1584,"When Worlds Collide (1932–1933) (serial), (1933) (novel), Edwin Balmer and Philip Wylie","When Worlds Collide (1951)
When Worlds Collide (2012)","['1951', '2012']"
1585,"Where Eagles Dare (1967), Alistair MacLean",Where Eagles Dare (1968),['1968']
1586,"Where the Boys Are (1960), Glendon Swarthout","Where the Boys Are (1960)
* Where the Boys Are '84 (1984)","['1960', '1984']"
1587,"Where the Red Fern Grows (1961), Wilson Rawls",Where the Red Fern Grows (1974),['1974']
1588,"Where the Wild Things Are (1963), Maurice Sendak",Where the Wild Things Are (2009),['2009']
1589,"Whistle Stop (1941), Maritta Wolff",Whistle Stop (1946),['1946']
1590,"White Banners (1936), Lloyd C. Douglas",White Banners (1938),['1938']
1591,"White Dog (1970), Romain Gary",White Dog (1982),['1982']
1592,"White Fang (1906), Jack London","White Fang (1925)
White Fang (1936)
White Fang (1946)
White Fang (1973)
* The Return of White Fang (1974)
** White Fang to the Rescue (1974)
*** White Fang and the Gold Diggers (1974)
**** White Fang and the Hunter (1975)
White Fang (1991)
* White Fang 2: Myth of the White Wolf (1994)
White Fang (1991)
White Fang (1997)","['1925', '1936', '1946', '1973', '1974', '1974', '1974', '1975', '1991', '1994', '1991', '1997']"
1593,"White Shark (1994), Peter Benchley",Creature (1998) (TV),['1998']
1594,"The White Ship (1975), Donald G. Payne",The White Ship (1976),['1976']
1595,"The White Stallions of Vienna (1963), Alois Podhajsky",Miracle of the White Stallions (1963),['1963']
1596,"White Jazz (1992), James Ellroy",White Jazz (2012),['2012']
1597,"Who? (1958), Algis Budrys",Who? (1973),['1973']
1598,"Who Censored Roger Rabbit? (1981), Gary K. Wolf",Who Framed Roger Rabbit (1988),['1988']
1599,"Who Lie in Gaol (1952), Joan Henry",The Weak and the Wicked (1953),['1953']
1600,"Who Rides with Wyatt (1955), Henry Wilson Allen",Young Billy Young (1969),['1969']
1601,"Why Me? (1983), Donald E. Westlake",Why Me? (1990),['1990']
1602,"Wicked Water (1949), MacKinlay Kantor",[Wicked Water (1953),['1953']
1603,"Wide Sargasso Sea (1966), Jean Rhys",Wide Sargasso Sea (1993),['1993']
1604,"A Widow for One Year (1998), John Irving",The Door in the Floor (2004),['2004']
1605,"Wild Horse Mesa (1928), Zane Grey","Wild Horse Mesa (1925)
Wild Horse Mesa (1932)
Wild Horse Mesa (1947)","['1925', '1932', '1947']"
1606,"Wild Justice (1979), Wilbur Smith",Wild Justice (a. k. a. Covert Assassin) (1993) (TV),['1993']
1607,"The Willing Flesh (1955), Willi Heinrich",Cross of Iron (1977),['1977']
1608,"Wilt (1976), Tom Sharpe",Wilt (1989),['1989']
1609,"The Wind in the Willows (1908), Kenneth Grahame","The Adventures of Ichabod and Mr. Toad (1949)
The Wind in the Willows (1983)
* The Wind in the Willows: A Tale of Two Toads (1989) (TV)
The Wind in the Willows (1987) (TV)
The Wind in the Willows (1995) (TV)
* The Willows in Winter (1996)
The Wind in the Willows (1996)
The Wind in the Willows (2006) (TV)
The Wind in the Willows (2012)","['1949', '1983', '1989', '1987', '1995', '1996', '1996', '2006', '2012']"
1610,"The Wings of the Dove (1902), Henry James","The Wings of the Dove (1981)
The Wings of the Dove (1997)","['1981', '1997']"
1611,"Winnie-the-Pooh (1926–1928) (series), A.A. Milne
Winnie-the-Pooh (1926)
* The House at Pooh Corner (1928)","Disney's Winnie the Pooh (1977–present) (series)
The Many Adventures of Winnie the Pooh (1977)
* Winnie the Pooh and Friends (1985)
** Pooh's Grand Adventure: The Search for Christopher Robin (1997)
** * Winnie the Pooh: Seasons of Giving (1999)
** ** The Tigger Movie (2000)
** ** * Winnie the Pooh: A Very Merry Pooh Year (2002)
** ** ** Piglet's Big Movie (2003)
** ** ** * Winnie the Pooh: Springtime with Roo (2004)
** ** ** ** Pooh's Heffalump Movie (2005)
** ** ** ** * Pooh's Heffalump Halloween Movie (2005)
** ** ** ** ** My Friends Tigger and Pooh: Super Sleuth Christmas Movie (2007)
** ** ** ** ** * Tigger and Pooh and a Musical Too (2009)
** ** ** ** ** ** Winnie the Pooh (2011)","['1977', '1977', '1985', '1997', '1999', '2000', '2002', '2003', '2004', '2005', '2005', '2007', '2009', '2011']"
1612,"Winter Meeting (1946), Grace Zaring Stone (as Ethel Vance)",Winter Meeting (1948),['1948']
1613,"Winter's Bone (2006), Daniel Woodrell",Winter's Bone (2010),['2010']
